name,band
"Laflamme, David",It's a Beautiful Day
"Langley, Noel",Loose Tubes
"Lansley, Andrew",Thrill Collins
"Large, Storm",Pink Martini
Larry King,Soleil Moon
Larry Shields,Original Dixieland Jazz Band
Lars Horntveth,Jaga Jazzist
"Lassen, Harald",Mopti
"Lassen, Harald",Pixel
"Lauderdale, Thomas M.",Pink Martini
"Lavin, Tom",Powder Blues Band
Lawrence Albert Payton,The Four Tops
Lawrence Albert Payton,Four Tops
"Lech, Beate S.",Beady Belle
"Lee, Albert",Bill Wyman's Rhythm Kings
Leonor Watling,Marlango
Lew Soloff,Paul Peress
Lew Soloff,"Peress, Paul"
Lewis Nash,The Blue Note 7
"Lewis, John",Modern Jazz Quartet
"Lewis, Michael",Happy Apple
Line Horntveth,Jaga Jazzist
Live Maria Roggen,Trondheim Voices
Live Maria Roggen,Come Shine
"Ljungkvist, Fredrik",Atomic
"Lockheart, Mark",Loose Tubes
"Lockheart, Mark",Polar Bear
"Lofthus, Torstein",Damp
"Logic, DJ",The John Popper Project
"Logic, DJ",The John Popper Project Featuring DJ Logic
"Lorson, Mary",Saint Low
"Louhivuori, Olavi",Oddarrang
Louis Robinson,TG Collective
"Lowrey, Bill",Peninsula Banjo Band
"Lund, Håvard",Trondheim Jazz Orchestra
"Lundin, Fredrik",Magnetic North Orchestra
"Lurie, Jessica Stevens",Living Daylights
Lydia,Presuntos Implicados
Lyle Mays,Pat Metheny Group
"Lysne, Geir",Oslo Groove Company
"Lønning, Eivind",Motif
"Lønning, Eivind",Trondheim Jazz Orchestra
M. Ward,She & Him
"MBE, Dr. Martin Taylor",Bill Wyman's Rhythm Kings
"Maestro, Virginia",Labuat
Magne Thormodsæter,Bergen Big Band
Magnus Broo,Atomic
Magnus Skavhaug Nergaard,Monkey Plot
"Mahola, Zolani",Freshlyground
Manfred Mann,Manfred Mann's Earth Band
"Mann, Manfred",Manfred Mann's Earth Band
Manose Singh,1974
Manose Singh,Time Out
Manose Singh,Aath Athara
Manose Singh,Samjhi Baschu
Marc Johnson,Night Ark
Marcella Puppini,The Puppini Sisters
Marcus Miller,SMV
"Maret, Grégoire",Pat Metheny Group
Maria Kannegaard,TINGeLING
Maria Kannegård,TINGeLING
Marius Reksjø,Beady Belle
Mark Lockheart,Loose Tubes
Mark Lockheart,Polar Bear
Mark Summer,Turtle Island Quartet
"Mark, Jon",Mark-Almond
Marlon Roudette,Mattafix
"Marsh, Hugh",The Henrys
Marte Maaland Eberson,Morning Has Occurred
Martin France,Human Chain
Martin France ARAM Hons,Human Chain
Martin Horntveth,Jaga Jazzist
Martin Taxt,Music for a While
Martin Taylor,Bill Wyman's Rhythm Kings
"Martin, Billy",Medeski Martin & Wood
Martín Perna,Antibalas
Mary Elizabeth Winstead,Got a Girl
Mary Elizabeth Winstead,I Love You But I Must Drive Off This Cliff Now
Mary Ellen Simpson,Gary Ruley and Mule Train
Mary Lorson,Saint Low
Mary Margaret O'Hara,The Henrys
Mary Margaret Ohara,The Henrys
Mary Simpson,Gary Ruley and Mule Train
Masahiro Andoh,T-Square
Masahiro Andoh,Ottottrio
Masayuki Hiizumi,PE'Z
"Mason, Jr., Harvey",The Underdogs
Mathias Eick,Trondheim Jazz Orchestra
Mathias Eick,Jaga Jazzist
Mathias Eick,Music for a While
"Mathisen, Jørgen",The Core
"Mathisen, Jørgen",Trondheim Jazz Orchestra
Mats Eilertsen,Dingobats
Mats Eilertsen,Trondheim Jazz Orchestra
Mats Gustafsson,The Thing
